ID_Intervention,Date,ID_Machine,Type_Panne,Duree_Arret_h,Technicien,Pieces_Changees
INT-00001,2024-02-12,CMP-009,Surchauffe,14.00,Isabelle Garcia,"Vérin pneumatique ISO 6432, Filtre hydraulique HF35"
INT-00002,17-11-2024,MOT-002,Défaut Lubrification,33.25,Marie Simon,"Electrovanne 5/2, Courroie HTD 800-8M, Huile ISO VG 68"
INT-00003,2024-06-01,MOT-010,Défaut Capteur,30.25,A. PETIT,Graisse lithium NLGI 2
INT-00004,2024-07-03,CVY-002,Usure Normale,27.50,Sophie Bernard,Contacteur LC1D09
INT-00005,2024-01-23,MOT-001,Panne Hydraulique,6.75,Nicolas Michel,Electrovanne 5/2
INT-00006,2024-09-08,PMP-008,Défaut Capteur,41h45,Thomas Laurent,Câble 3G2.5
INT-00007,2024-05-28,CNC-003,Fuite,39.50,Isabelle Garcia,Contacteur LC1D09
INT-00008,2024-11-26,CNC-004,Défaut Capteur,41.50,Isabelle Garcia,"Courroie HTD 800-8M, Filtre hydraulique HF35, Electrovanne 5/2"
INT-00009,2024-08-26,CVY-007,Usure Normale,43.25,Isabelle Garcia,Joint torique NBR 40x3
INT-00010,2024-11-25,CVY-004,Panne Hydraulique,28.00,Nicolas Michel,"Vérin pneumatique ISO 6432, Filtre hydraulique HF35"
INT-00011,2024-01-30,MOT-001,Panne Hydraulique,27.50,Isabelle Garcia,Filtre hydraulique HF35
INT-00012,2024-05-11,PMP-006,Panne Électrique,13 heures 30 min,Céline Lefebvre,"Joint torique NBR 40x3, Vérin pneumatique ISO 6432"
INT-00013,2024-07-01,CNC-010,Panne Hydraulique,6.25,Sophie Bernard,Electrovanne 5/2
INT-00014,2024-07-26,CNC-006,Usure Normale,12.25,Julie Moreau,"Huile ISO VG 68, Courroie HTD 800-8M"
INT-00015,2024-08-20,PMP-002,Panne Électrique,12.50,Marie Simon,"Roulement SKF 6205, Variateur ATV320"
INT-00016,2024-03-20,CNC-001,Panne Électrique,17.75,Julie Moreau,Huile ISO VG 68
INT-00017,2024-12-15,PMP-001,Panne Hydraulique,24.25,Sophie Bernard,"Huile ISO VG 68, Fusible 10A, Vérin pneumatique ISO 6432"
INT-00018,2024-12-15,CNC-004,Défaut Lubrification,20.25,Marie Simon,
INT-00019,2024-06-25,MOT-008,Vibrations Anormales,3.50,S.Bernard,Variateur ATV320
INT-00020,2024-01-07,PMP-004,Usure Normale,15.00,Céline Lefebvre,Joint torique NBR 40x3
INT-00021,2024-10-25,CMP-007,Panne Pneumatique,2.25,Sophie Bernard,Electrovanne 5/2
INT-00022,2024-09-13,PMP-008,Panne Pneumatique,27.00,Marie SIMON,Vérin pneumatique ISO 6432
INT-00023,2024-05-04,CVY-006,Défaut Capteur,40.50,Thomas Laurent,Huile ISO VG 68 / Câble 3G2.5
INT-00024,2024-08-03,CMP-002,Défaut Capteur,27.00,Pierre Rodriguez,"Graisse lithium NLGI 2, Capteur inductif M12"
INT-00025,2024-04-18,MOT-004,Panne Électrique,0.25,Sophie Bernard,"Electrovanne 5/2, Disjoncteur C16"
INT-00026,2024-07-03,CVY-006,Panne Hydraulique,1.75,Martin Dupont,"Fusible 10A, Variateur ATV320"
INT-00027,2024-04-13,CVY-003,Panne Mécanique,44.25,T.Laurent,"Fusible 10A, Graisse lithium NLGI 2"
INT-00028,2024-02-08,MOT-001,Panne Mécanique,3.50,Marie Simon,Graisse lithium NLGI 2
INT-00029,2024-12-15,MOT-008,Panne Mécanique,33.0.25,Alexandre Petit,"Disjoncteur C16, Filtre hydraulique HF35"
INT-00030,2024-09-19,MOT-004,Panne Électrique,35.75,T.Laurent,"Disjoncteur C16, Graisse lithium NLGI 2, Relais temporisé"
INT-00031,2024-03-02,MOT-006,Panne Électrique,25.75,Julie Moreau,Electrovanne 5/2
INT-00032,2024-05-27,MOT-001,Panne Pneumatique,34.50,Isabelle Garcia,N/A
INT-00033,2024-08-22,MOT-003,Panne Pneumatique,5.50,Pierre Rodriguez,"Fusible 10A, Vérin pneumatique ISO 6432"
INT-00034,2024-11-08,CVY-003,Défaut Capteur,32.50,Marie Simon,Contacteur LC1D09; Relais temporisé
INT-00035,2024-12-13,MOT-006,Panne Mécanique,22.00,Pierre Rodriguez,N/A
INT-00036,2024-01-31,CMP-001,Panne Électrique,36.75,Martin Dupont,Variateur ATV320
INT-00037,2024-08-15,CMP-002,surchauffe,4.25,Nicolas Michel,Variateur ATV320
INT-00038,2024-09-09,CVY-009,Défaut Capteur,33 heures 30 min,Julie Moreau,Fusible 10A
INT-00039,2024-11-08,CMP-003,Panne Mécanique,35.25,M. Dupont,Fusible 10A
INT-00040,2024-07-12,PMP-006,Panne Électrique,25.50,Pierre Rodriguez,"Joint torique NBR 40x3, Câble 3G2.5, Filtre hydraulique HF35"
INT-00041,2024-01-04,CMP-002,Vibration Anormale,14.50,T.Laurent,Filtre hydraulique HF35
INT-00042,25.12.2024,CMP-005,Panne Pneumatique,13.50,Marie Simon,Fusible 10A
INT-00043,2024-06-15,CMP-003,Surchauffe,24.00,Isabelle Garcia,Câble 3G2.5
INT-00044,2024-03-26,CNC-002,Surchauffe,15.25,Julie Moreau,Filtre hydraulique HF35
INT-00045,2024-08-07,CMP-009,Défaut Lubrification,15.75,Isabelle Garcia,"Huile ISO VG 68, Câble 3G2.5"
INT-00046,2024-11-16,CMP-005,Usure Normale,32.50,Alexandre Petit,"Vérin pneumatique ISO 6432, Graisse lithium NLGI 2"
INT-00047,2024-03-01,CVY-006,Panne Électrique,45.00,Marie SIMON,"Capteur inductif M12, Filtre hydraulique HF35, Fusible 10A"
INT-00048,2024-03-01,CNC-002,Défaut Lubrification,12.50,Thomas Laurent,-
INT-00049,2024-08-05,CVY-007,Panne Pneumatique,32.25,Martin Dupont,"Fusible 10A, Variateur ATV320"
INT-00050,2024-04-25,PMP-006,Défaut Capteur,16.00,T.Laurent,Disjoncteur C16
INT-00051,2024-10-20,CMP-001,Défaut Lubrification,29.00,Martin Dupont,Graisse lithium NLGI 2
INT-00052,2024-01-12,PMP-007,Défaut Capteur,27.50,Alexandre Petit,Câble 3G2.5
INT-00053,2024-05-16,CNC-009,Surchauffe,42.00,Céline Lefebvre,Filtre hydraulique HF35
INT-00054,2024-05-02,CVY-010,Panne Pneumatique,9.75,Alexandre Petit,"Variateur ATV320, Huile ISO VG 68"
INT-00055,2024-12-10,CNC-003,Vibrations Anormales,24 heures 45 min,Julie Moreau,Aucune
INT-00056,2024-05-02,PMP-004,Fuite,34.00,Martin Dupont,"Electrovanne 5/2, Disjoncteur C16, Courroie HTD 800-8M"
INT-00057,2024-01-12,CNC-007,Défaut Capteur,14.50,Marie Simon,Graisse lithium NLGI 2
INT-00058,2024-03-07,CMP-001,Surchauffe,18.25,Céline Lefebvre,Huile ISO VG 68
INT-00059,2024-12-09,CNC-002,Vibrations Anormales,11.75,Martin Dupont,Joint torique NBR 40x3
INT-00060,2024-09-08,CNC-007,Panne Hydraulique,23.25,Julie Moreau,Relais temporisé
INT-00061,2024-06-22,CMP-005,Vibrations Anormales,8 heures 45 min,Nicolas Michel,"Courroie HTD 800-8M, Disjoncteur C16"
INT-00062,2024-09-13,CMP-005,Panne Hydraulique,21.00,Sophie Bernard,Huile ISO VG 68
INT-00063,2024-06-04,CVY-002,Panne Mécanique,0.00,I. Garcia,Aucune
INT-00064,2024-09-01,PMP-007,Panne Hydraulique,1.75,Julie Moreau,"Electrovanne 5/2, Graisse lithium NLGI 2, Joint torique NBR 40x3"
INT-00065,2024-01-28,CMP-010,Défaut Capteur,38.00,Pierre Rodriguez,"Courroie HTD 800-8M, Relais temporisé, Electrovanne 5/2"
INT-00066,2024-01-08,MOT-010,Fuite,15.25,Julie Moreau,Capteur inductif M12
INT-00067,2024-11-23,CMP-006,Panne Mecanique,7.25,Thomas Laurent,
INT-00068,2024-08-16,CNC-009,Panne Pneumatique,31h30,Martin Dupont,Roulement SKF 6205
INT-00069,2024-01-15,CMP-002,Usure Normale,23.75,Marie Simon,Fusible 10A
INT-00070,2024-07-17,PMP-007,Fuite,37.25,S.Bernard,Aucune
INT-00071,2024-11-03,MOT-002,Panne Électrique,25.75,Pierre Rodriguez,"Roulement SKF 6205, Vérin pneumatique ISO 6432"
INT-00072,2024-08-10,CMP-007,Défaut Capteur,22.75,Marie Simon,Fusible 10A
INT-00073,2024-10-17,PMP-009,Panne Pneumatique,30.75,Thomas Laurent,"Huile ISO VG 68, Disjoncteur C16"
INT-00074,2024-03-10,CNC-001,Usure Normale,28.75,Marie Simon,"Joint torique NBR 40x3, Fusible 10A"
INT-00075,2024-06-11,PMP-009,Surchauffe,12.25,T.Laurent,"Câble 3G2.5, Vérin pneumatique ISO 6432"
INT-00076,2024-10-26,CMP-008,Panne Mecanique,21.00,Céline Lefebvre,"Câble 3G2.5, Variateur ATV320"
INT-00077,2024-07-15,PMP-008,Fuite,47.50,Alexandre Petit,"Disjoncteur C16, Roulement SKF 6205"
INT-00078,2024-08-20,CVY-003,Surchauffe,12.50,Marie Simon,Câble 3G2.5
INT-00079,2024-06-15,CNC-008,Panne Pneumatique,6.00,Céline Lefebvre,Fusible 10A; Contacteur LC1D09; Variateur ATV320
INT-00080,2024-08-30,PMP-008,surchauffe,47.25,Julie Moreau,"Contacteur LC1D09, Variateur ATV320"
INT-00081,2024-06-16,PMP-006,Défaut Capteur,37.50,Thomas Laurent,Disjoncteur C16
INT-00082,2024-09-22,CVY-004,Défaut capteur,14.00,Martin Dupont,Filtre hydraulique HF35
INT-00083,2024-10-17,CVY-005,Panne Mécanique,20.50,Isabelle Garcia,Disjoncteur C16
INT-00084,2024-01-04,MOT-010,Panne Électrique,36.75,Nicolas Michel,
INT-00085,2024-07-10,MOT-007,Usure Normale,3.50,Thomas Laurent,Disjoncteur C16
INT-00086,2024-03-05,PMP-008,Défaut Capteur,11.75,Alexandre Petit,Aucune
INT-00087,2024-12-06,PMP-007,Panne Electrique,22 heures 45 min,S.Bernard,"Joint torique NBR 40x3, Fusible 10A"
INT-00088,2024-11-02,MOT-007,Panne Hydraulique,43.75,Marie Simon,"Disjoncteur C16, Courroie HTD 800-8M"
INT-00089,2024-05-27,CVY-010,Panne Hydraulique,2.50,Thomas Laurent,Contacteur LC1D09
INT-00090,2024-12-29,CMP-008,Défaut Lubrification,15.00,RODRIGUEZ,"Capteur inductif M12, Fusible 10A"
INT-00091,2024-01-01,CNC-007,Surchauffe,9:45,Céline Lefebvre,"Vérin pneumatique ISO 6432, Electrovanne 5/2, Roulement SKF 6205"
INT-00092,2024-09-10,CMP-005,Surchauffe,3.75,N.Michel,Roulement SKF 6205
INT-00093,2024-07-23,CMP-002,Panne Pneumatique,43.50,Marie Simon,Câble 3G2.5
INT-00094,2024-04-19,CMP-003,Panne Électrique,1.25,Julie Moreau,"Fusible 10A, Courroie HTD 800-8M"
INT-00095,2024-07-20,CVY-010,Fuite,1.00,Thomas Laurent,"Vérin pneumatique ISO 6432, Relais temporisé"
INT-00096,2024-03-07,CVY-001,Surchauffe,33.25,Nicolas Michel,-
INT-00097,2024-09-22,PMP-004,Panne Pneumatique,9 heures 30 min,Alexandre Petit,Courroie HTD 800-8M
INT-00098,2024-05-25,PMP-001,Panne Pneumatique,27.0.25,Céline Lefebvre,-
INT-00099,2024-10-08,CMP-007,Défaut Capteur,18.75,RODRIGUEZ,Graisse lithium NLGI 2 - Variateur ATV320 - Joint torique NBR 40x3
INT-00100,2024-12-09,CMP-001,Surchauffe,47.75,Alexandre Petit,Filtre hydraulique HF35
INT-00101,2024-10-29,CMP-008,Panne Hydraulique,10.75,RODRIGUEZ,Câble 3G2.5
INT-00102,2024-02-27,CVY-007,panne pneumatique,24.00,Thomas Laurent,
INT-00103,2024-10-06,PMP-005,Fuite,40.00,A. PETIT,Contacteur LC1D09
INT-00104,2024-12-04,CMP-010,Fuite,25.00,Isabelle Garcia,Aucune
INT-00105,2024-05-06,CVY-010,Def. Lubrification,44.50,Marie Simon,Contacteur LC1D09
INT-00106,2024-01-20,CNC-002,Usure Normale,11.00,Julie Moreau,Graisse lithium NLGI 2
INT-00107,2024-09-29,CVY-009,Fuite,17.00,I. Garcia,Relais temporisé
INT-00108,2024-08-23,PMP-006,Panne Électrique,37.50,Isabelle Garcia,
INT-00109,2024-08-11,CVY-005,Panne Électrique,23.50,Isabelle Garcia,"Roulement SKF 6205, Câble 3G2.5"
INT-00110,2024-03-29,PMP-004,Défaut Lubrification,37.75,Martin Dupont,Câble 3G2.5
INT-00111,2024-10-02,PMP-009,Surchauffe,17.75,Marie Simon,"Graisse lithium NLGI 2, Capteur inductif M12, Electrovanne 5/2"
INT-00112,2024-12-10,CMP-010,Panne Électrique,5.25,Martin Dupont,"Courroie HTD 800-8M, Relais temporisé"
INT-00113,2024-12-13,CMP-007,Surchauffe,4.00,julie moreau,"Câble 3G2.5, Graisse lithium NLGI 2, Vérin pneumatique ISO 6432"
INT-00114,2024-11-27,CNC-002,Panne Mécanique,0.25,Pierre Rodriguez,Fusible 10A
INT-00115,2024-04-16,MOT-002,Défaut Capteur,11.25,Céline Lefebvre,"Variateur ATV320, Relais temporisé"
INT-00116,2024-08-04,PMP-002,Défaut Lubrification,13.00,Isabelle Garcia,Variateur ATV320
INT-00117,2024-08-14,CMP-010,Panne Pneumatique,8.50,Céline Lefebvre,
INT-00118,2024-10-01,MOT-005,Panne Électrique,21.00,Marie Simon,
INT-00119,2024-08-21,CNC-003,Défaut Capteur,47.50,Martin Dupont,"Câble 3G2.5, Vérin pneumatique ISO 6432"
INT-00120,2024-12-19,CMP-010,Usure normale,3.25,Alexandre Petit,Roulement SKF 6205
INT-00121,2024-12-12,CNC-006,Panne Hydraulique,6.0.00,Céline Lefebvre,Roulement SKF 6205
INT-00122,2024-02-01,MOT-010,Usure Normale,9.25,N.Michel,Electrovanne 5/2
INT-00123,2024-01-20,MOT-006,Panne Hydraulique,15.8,Marie Simon,Variateur ATV320
INT-00124,2024-09-27,CVY-005,Fuite,4.50,Martin Dupont,"Relais temporisé, Contacteur LC1D09"
INT-00125,2024-11-04,CNC-010,Panne Hydraulique,39.25,Martin Dupont,Capteur inductif M12
INT-00126,2024-04-03,PMP-004,Vibrations Anormales,8h00,N.Michel,Câble 3G2.5
